country_id,year,green_index_growth,gdp_growth,democracy
483,1997,-0.018381646,0.017995058,-2
483,1998,0.010514847,0.038665704,-2
483,1999,0.078414232,-0.035133827,-2
484,1983,0.013124869,0.008303641,-8
484,1984,-0.030852113,0.067843176,-8
484,1985,0.13473028,-0.009548301,-8
484,1986,-0.01032879,-0.063403785,-8
484,1987,-0.023140127,-0.056215342,-8
484,1988,-0.008769221,-0.018456439,-8
484,1989,0.050855394,-0.009829061,-8
484,1990,0.068032779,-0.045748793,-8
484,1991,-0.13739415,0.087743104,-1
484,1992,-0.040302262,-0.068607055,5
484,1993,-0.015317689,-0.037907597,5
484,1994,-0.035022091,-0.081525102,5
484,1995,0.23019497,0.011064418,5
484,1996,0.000953268,-0.06947203,5
484,1997,0.020255705,-0.033129428,-6
484,1998,-0.043322541,0.009217792,-6
484,1999,-0.008934524,-0.056046996,-6
490,1983,-0.020240642,-0.043568462,-9
490,1984,-0.020692134,-0.006507573,-9
490,1985,0.092195019,-0.034934502,-9
490,1986,0.008846327,0.027149308,-9
490,1987,-0.017627126,0.019823795,-9
490,1988,-0.040836945,-0.006479463,-9
490,1989,0.089610726,-0.078260899,-9
490,1990,0.009411603,-0.095840193,-8
490,1991,-0.083700322,-0.11269138,-8
490,1992,-0.028518638,-0.13383582,0
490,1993,-0.023116648,-0.1605368,0
490,1994,-0.011090226,-0.06977158,0
490,1995,0.17378017,-0.025194105,0
490,1996,-0.004503793,-0.038912319,0
490,1997,0.009879038,-0.085177049,0
490,1998,-0.043399405,-0.003767347,0
500,1983,0.006437973,0.11963195,3
500,1984,-0.044421177,-0.47397265,3
500,1985,0.031861842,-0.062499922,0
500,1986,0.000374316,-0.064814858,-7
500,1987,0.037414014,0.007920808,-7
500,1988,0.044034816,0.035363469,-7
500,1989,-0.02890134,0.039848138,-7
500,1990,0.023346759,0.010948982,-7
500,1991,-0.096656002,0.016245494,-7
500,1992,-0.011223213,-0.028419239,-7
500,1993,0.011298614,0.049097013,-4
500,1994,0.11716264,0.031215182,-4
500,1995,-0.008462032,0.081998974,-4
500,1996,0.037715495,0.05831027,-4
500,1997,-0.013993349,0.018311286,-4
500,1998,-0.035219572,0.027317585,-4
500,1999,0.024270318,0.044675238,-4
501,1983,-0.047926202,-0.027906964,-7
501,1984,-0.08594092,-0.003588542,-7
501,1985,0.14648604,-0.046818696,-7
501,1986,-0.053247225,0.07934504,-7
501,1987,0.048911475,0.028004656,-7
501,1988,-0.009059837,0.023836581,-7
501,1989,0.094483845,0.01330373,-7
501,1990,0.052257534,-0.003282234,-7
501,1991,-0.19374174,-0.009879258,-5
501,1992,0.000536007,0.01330373,-5
501,1993,0.1140504,-0.02293892,-5
501,1994,-0.026905561,0.001134824,-5
501,1995,0.018261259,0.020287449,-5
501,1996,-0.069010727,0.018231245,-5
501,1997,0.25752431,-0.002014945,-2
501,1998,0.12121414,-0.006018526,-2
501,1999,-0.20865156,-0.007978286,-2
510,1983,-0.015874341,-0.094420604,-7
510,1984,0.015523787,0.09715642,-7
510,1985,0.012103728,0.021598252,-7
510,1986,0.022241028,0.14164911,-7
510,1987,0.015980206,-0.003703766,-7
510,1988,-0.068269238,-0.00743496,-7
510,1989,0.10438449,0.005757541,-7
510,1990,0.018086413,0.037887022,-7
510,1991,-0.098601721,-0.010040333,-7
510,1992,-0.005883228,-0.024083089,-6
510,1993,-0.001247173,-0.018859442,-6
510,1994,-0.01009543,-0.014560015,-6
510,1995,0.049606834,0.00650814,-1
510,1996,0.013796767,0.017325692,-1
510,1997,0.017778546,0.007902993,-1
510,1998,0.046895385,0.014457462,-1
510,1999,-0.048843544,0.02154664,-1
516,1983,0.013949347,-0.031809207,-7
516,1984,-0.082642213,-0.008213508,-7
516,1985,0.093809828,0.091097303,-7
516,1986,-0.025184752,0.045540776,-7
516,1987,0.0636409,-0.023593487,-7
516,1988,-0.066022694,0.03903351,-7
516,1989,-0.06305854,-0.048300553,-7
516,1990,0.047368985,0.033834599,-7
516,1991,-0.067021385,0.018181801,-7
516,1992,0.044088617,0.016071435,-3
516,1993,0.000105042,-0.079579219,0
516,1994,0.032454573,-0.06084713,0
516,1995,0.085859612,-0.09221147,0
516,1996,-0.038504779,-0.10345233,-5
516,1997,0.011010426,-0.017306678,-5
516,1998,0.01725135,0.027148554,-1
516,1999,0.052013263,-0.029715417,-1
