hhid,cash,age35,schooling,male,nutrition
536,1,1,0,0,0.091
537,1,1,0,1,0.895
538,1,1,0,0,0.091
539,0,1,0,0,0.091
540,0,1,0,1,0.091
541,1,0,0,0,-1.632
542,0,1,0,0,1.698
543,0,1,0,0,-0.164
544,1,0,1,0,-0.304
545,1,0,0,1,1.365
546,1,0,0,0,-0.941
547,0,0,0,1,0.091
548,1,0,0,0,-1.404
549,0,1,0,1,-0.192
550,0,1,0,1,0.895
551,1,0,0,0,-0.192
552,0,1,0,0,1.136
553,1,1,0,0,-1.83
554,1,1,0,0,0.895
555,0,1,0,0,0.462
556,0,1,0,0,0.561
557,1,1,0,0,0.091
558,0,0,0,1,-0.47
559,0,1,0,0,0.895
560,1,0,1,1,0.091
561,1,1,0,0,0.091
562,0,0,0,1,-1.307
563,0,1,0,0,0.895
564,1,1,0,0,0.895
565,0,0,0,0,0.895
566,0,0,1,1,0.895
567,0,0,0,0,0.444
568,0,1,0,0,0.091
569,1,1,0,1,1.698
570,0,1,0,1,0.895
571,1,0,0,1,-0.982
572,1,1,0,0,0.895
573,0,0,0,0,1.136
574,1,0,0,0,0.895
575,1,0,0,0,1.136
576,0,0,0,0,-1.535
577,1,1,0,0,1.136
578,1,0,1,1,0.091
579,0,1,0,0,-0.02
580,1,1,0,0,-0.754
581,1,1,0,0,0.091
582,0,1,0,0,-0.543
583,1,0,0,1,0.895
584,1,0,0,0,0.895
585,0,0,1,1,0.895
586,0,1,0,0,1.136
587,1,0,0,1,2.502
588,1,0,0,0,0.895
589,0,0,0,0,1.136
590,0,1,0,0,0.895
591,1,1,1,0,0.895
592,0,0,0,1,0.895
593,1,0,0,0,0.091
594,0,1,0,1,-1.458
595,0,0,0,0,-0.47
596,1,0,0,1,1.136
597,0,0,0,1,-1.407
598,1,0,0,1,0.091
599,1,1,0,0,1.698
600,1,0,0,0,-0.584
601,1,0,0,0,-0.964
602,0,1,0,0,0.895
603,0,1,0,1,-0.242
604,0,0,0,0,0.091
605,0,1,0,0,1.136
606,1,1,0,0,-0.42
607,0,1,0,1,0.091
608,1,0,0,1,-2.193
609,1,0,0,0,-2.794
610,0,1,0,0,0.091
611,0,1,0,0,-0.754
612,1,1,0,0,0.091
613,0,1,0,1,0.091
614,0,1,0,1,0.895
615,0,0,0,0,-0.134
616,1,0,0,0,0.895
617,1,1,0,1,-0.192
618,0,1,0,0,1.698
619,1,0,0,0,0.091
620,0,1,0,0,-0.192
621,1,1,0,1,1.136
622,1,1,0,1,-1.149
623,0,0,0,0,-0.981
624,1,1,0,1,0.672
625,1,0,1,0,0.091
626,1,1,0,0,0.417
627,1,1,0,0,-0.02
628,0,1,0,1,-1.22
629,1,1,0,0,0.219
630,1,0,0,0,-0.584
631,1,1,0,0,-1.149
632,0,1,0,0,-3.07
633,1,1,0,0,-0.584
634,0,1,0,0,0.672
635,0,1,0,0,-1.814
636,1,0,0,1,0.091
637,0,1,0,1,-0.356
638,0,1,0,0,0.091
639,0,0,0,0,0.117
640,0,1,0,0,0.091
641,0,0,0,0,-0.529
642,1,1,0,0,0.091
643,1,0,0,0,-0.685
644,1,0,1,1,0.895
645,0,0,0,1,-0.924
646,0,1,0,1,-1.535
647,0,0,0,0,-0.559
648,0,1,0,1,0.672
649,0,0,0,1,-0.584
650,0,0,0,1,0.091
651,1,0,1,1,-0.192
652,0,0,0,1,0.895
653,0,1,0,0,-0.304
654,1,0,0,0,0.769
655,1,0,0,0,-0.853
656,0,0,0,0,-0.131
657,1,0,0,1,0.091
658,0,0,0,0,-0.682
659,1,0,0,0,-1.321
660,0,0,0,1,0.091
661,1,1,0,0,0.091
662,1,1,0,0,0.895
663,0,0,0,1,-2.78
664,0,1,0,0,-0.134
665,0,1,0,0,0.091
666,1,0,0,0,1.136
667,1,1,0,0,-0.359
668,1,0,0,1,0.895
669,0,1,0,1,-0.526
670,1,0,0,1,-0.926
671,0,1,0,0,0.444
672,0,1,0,0,-0.622
673,1,0,0,0,-1.22
674,1,1,1,1,0.091
675,0,0,0,1,-1.22
676,0,0,0,0,-0.131
677,1,0,0,0,0.091
678,1,1,0,0,0.091
679,1,0,0,1,0.895
680,1,0,0,0,-0.687
681,1,0,0,1,0.091
682,1,1,0,0,0.091
683,1,0,0,1,0.091
684,0,1,0,0,0.895
685,1,0,0,0,-0.192
686,0,1,0,0,0.895
687,1,1,0,0,0.895
688,0,0,0,1,2.465
689,0,0,0,0,-0.192
690,1,0,0,1,0.895
691,0,0,0,0,-0.134
692,0,0,0,0,-0.754
693,1,0,0,0,1.136
694,1,0,0,1,0.895
695,1,0,0,0,0.895
696,0,0,0,0,-2.03
697,1,0,0,0,-0.192
698,0,0,0,1,1.136
699,1,1,0,0,0.895
700,0,0,0,0,-0.559
701,0,0,0,0,-0.699
702,0,0,0,0,0.091
703,0,0,0,0,0.421
704,1,0,0,1,-1.524
705,0,1,0,0,0.444
706,0,0,0,0,-1.035
707,1,1,0,0,-0.131
708,0,1,0,0,1.136
709,1,0,0,0,-0.242
710,0,1,0,0,0.091
711,0,1,1,0,1.136
712,1,1,0,0,0.895
713,1,1,0,0,0.091
714,1,0,1,1,0.091
715,1,1,0,0,-0.079
716,0,1,0,0,0.091
717,0,0,0,1,-1.491
718,0,0,0,0,-2.915
719,1,1,0,0,0.091
720,1,0,0,0,-1.994
721,1,1,0,1,0.895
722,1,0,0,0,-0.375
723,0,1,0,0,0.669
724,0,0,0,1,-0.559
725,0,0,1,1,0.091
726,1,0,0,0,0.895
727,1,1,0,0,1.136
728,1,1,0,1,0.895
729,1,0,0,1,-0.68
730,1,0,0,0,0.091
731,0,0,0,0,-0.423
732,0,1,0,0,0.091
733,1,1,0,1,-0.359
734,0,1,0,0,0.783
735,0,1,0,1,0.091
736,0,1,0,0,-0.584
737,1,0,0,0,-0.359
738,1,1,0,1,0.895
739,0,1,0,0,0.895
740,1,0,0,0,0.561
741,1,0,1,1,-0.192
742,0,1,0,0,-0.359
743,0,1,0,0,-0.39
744,1,0,0,0,0.091
745,1,1,0,0,1.136
746,0,0,0,0,0.091
747,1,1,0,0,-0.278
748,0,1,0,0,0.091
749,0,0,0,0,-0.292
750,0,0,1,0,0.091
751,1,1,0,1,0.895
752,0,1,0,0,0.091
753,0,1,0,1,0.561
754,0,1,0,0,0.091
