hhid,cash,eligible,time,male,age35,schooling,nutrition
118,1,0,1,0,1,0,.039885584
119,1,0,0,1,1,0,-.20405026
119,1,0,1,1,1,0,-.22676605
120,1,0,0,1,1,0,-.032794926
120,1,0,1,1,1,0,-2.7784319
121,1,0,0,0,0,0,.21332315
121,1,0,1,0,0,0,.82658541
122,1,0,0,0,1,0,-1.038797
122,1,0,1,0,1,0,-.20308074
123,1,0,0,0,0,0,.96155715
123,1,0,1,0,0,0,.58361906
124,1,0,0,0,0,0,.21332315
124,1,0,1,0,0,0,.82658541
125,1,0,0,0,0,0,-.55376381
125,1,0,1,0,0,0,-2.8734446
126,1,0,0,0,1,0,2.3923521
126,1,0,1,0,1,0,-2.2651629
127,1,0,0,0,1,0,.21332315
127,1,0,1,0,1,0,-3.5175149
128,1,0,0,1,1,0,-1.4618776
128,1,0,1,1,1,0,.039885584
129,1,0,0,0,0,0,.21332315
129,1,0,1,0,0,0,1.0697988
130,1,0,0,0,0,0,-.48610398
130,1,0,1,0,0,0,-.43792427
131,1,0,0,0,1,0,.49706537
131,1,0,1,0,1,0,.4261173
132,1,0,0,0,1,0,-2.4661233
132,1,0,1,0,1,0,-2.260972
133,1,0,0,0,1,1,.96155715
133,1,0,1,0,1,1,-.20308074
134,1,0,0,0,1,0,.88269764
134,1,0,1,0,1,0,-.22676605
135,1,0,0,1,1,0,1.7097913
135,1,0,1,1,1,0,-.42028958
136,1,0,0,0,1,0,-.29570907
136,1,0,1,0,1,0,-.44604713
137,1,0,0,1,0,0,.96155715
137,1,0,1,1,0,0,.039885584
138,1,0,0,0,1,0,-.62142366
138,1,0,1,0,1,0,-.84715116
139,1,0,0,0,1,0,-.63002849
139,1,0,1,0,1,0,-.99666929
140,1,0,0,0,1,0,-1.1761568
140,1,0,1,0,1,0,-.50859648
141,1,0,0,0,1,0,.96155715
141,1,0,1,0,1,0,.82658541
142,1,0,0,0,1,0,.21332315
142,1,0,1,0,1,0,-.87417912
143,1,0,0,0,1,0,1.0312381
143,1,0,1,0,1,0,.039885584
144,1,0,0,0,1,0,.68361974
144,1,0,1,0,1,0,-.19495793
145,1,0,0,0,0,0,-.092838049
145,1,0,1,0,0,0,.82658541
146,1,0,0,0,1,0,-.032794926
146,1,0,1,0,1,0,1.0697988
147,1,0,0,0,1,1,.73415709
147,1,0,1,0,1,1,-.22676605
148,1,0,0,0,1,0,1.1797786
148,1,0,1,0,1,0,-.47282034
149,1,0,0,0,1,0,-.18133542
149,1,0,1,0,1,0,1.0697988
150,1,0,0,1,1,0,-1.3171837
150,1,0,1,1,1,0,1.0697988
151,1,0,0,0,1,0,.21332315
151,1,0,1,0,1,0,.039885584
152,1,0,0,1,1,0,.54418379
152,1,0,1,1,1,0,.82658541
153,1,0,0,1,1,0,.13999511
153,1,0,1,1,1,0,.59174186
154,1,0,0,1,1,0,.96155715
154,1,0,1,1,1,0,.34065267
155,1,0,0,0,1,0,.21332315
155,1,0,1,0,1,0,.82658541
156,1,0,0,0,1,0,.96155715
156,1,0,1,0,1,0,.59174186
157,1,0,0,1,1,0,-.20405026
157,1,0,1,1,1,0,-3.5713086
158,1,0,0,0,1,0,.54418379
158,1,0,1,0,1,0,-.077536181
159,1,0,0,0,1,0,.0046364437
159,1,0,1,0,1,0,.039885584
160,1,0,0,0,0,0,.96155715
160,1,0,1,0,0,0,1.0697988
161,1,0,0,0,0,0,1.0312381
161,1,0,1,0,0,0,-1.3330839
162,1,0,0,0,1,0,.21332315
162,1,0,1,0,1,0,-.22676605
163,1,0,0,0,0,0,-.32236904
163,1,0,1,0,0,0,-.25858048
164,1,0,0,0,0,0,.21332315
164,1,0,1,0,0,0,-.35067266
165,1,0,0,1,1,0,-.51602709
165,1,0,1,1,1,0,-.22676605
166,1,0,0,0,1,0,.19091853
166,1,0,1,0,1,0,-.92661327
167,1,0,0,0,1,0,.96155715
167,1,0,1,0,1,0,1.6132852
168,1,0,0,1,0,0,.21332315
168,1,0,1,1,0,0,.039885584
169,1,0,0,0,0,0,.21332315
169,1,0,1,0,0,0,.039885584
170,1,0,0,0,1,0,-.20405026
170,1,0,1,0,1,0,-1.2255851
171,1,0,0,0,1,0,-.65842402
171,1,0,1,0,1,0,.82658541
172,1,0,0,0,1,0,-.43095058
172,1,0,1,0,1,0,-.22676605
173,1,0,0,0,1,0,-.36392993
173,1,0,1,0,1,0,.61964083
174,1,0,0,0,0,0,.21332315
174,1,0,1,0,0,0,.82658541
175,1,0,0,0,1,0,-2.4858437
175,1,0,1,0,1,0,.039885584
176,1,0,0,0,1,0,.21332315
176,1,0,1,0,1,0,.82658541
177,1,0,0,1,1,1,.96155715
177,1,0,1,1,1,1,.039885584
178,1,0,0,0,1,0,-1.0725784
178,1,0,1,0,1,0,-.22676605
179,1,0,0,1,0,0,.21332315
179,1,0,1,1,0,0,-.19495793
180,1,0,0,0,1,0,.21332315
180,1,0,1,0,1,0,-.93197984
181,1,0,0,1,1,0,.030005489
181,1,0,1,1,1,0,.82658541
182,1,0,0,0,1,0,.1216643
182,1,0,1,0,1,0,.82658541
183,1,0,0,0,1,1,.1216643
183,1,0,1,0,1,1,-.31237969
184,1,0,0,1,1,0,.96155715
184,1,0,1,1,1,0,.82658541
185,1,0,0,0,1,0,-.032794926
185,1,0,1,0,1,0,.59174186
186,1,0,0,0,0,0,.96155715
186,1,0,1,0,0,0,-.42788914
187,1,0,0,0,1,0,.86989832
187,1,0,1,0,1,0,.039885584
188,1,0,0,0,1,0,.21332315
188,1,0,1,0,1,0,.039885584
189,1,0,0,0,1,0,.7528705
189,1,0,1,0,1,0,.82658541
190,1,0,0,0,1,0,.21332315
190,1,0,1,0,1,0,1.0697988
191,1,0,0,0,1,0,-.24497095
191,1,0,1,0,1,0,-.20308074
192,1,0,0,0,1,0,-.77549738
192,1,0,1,0,1,0,-.22676605
193,1,0,0,0,1,0,.21332315
193,1,0,1,0,1,0,.039885584
194,1,0,0,0,0,0,-.55376381
194,1,0,1,0,0,0,.039885584
195,1,0,0,0,1,0,.1216643
195,1,0,1,0,1,0,.039885584
196,1,0,0,0,1,0,-1.0725784
196,1,0,1,0,1,0,-.19495793
197,1,0,0,0,1,0,-.74226332
197,1,0,1,0,1,0,.039885584
198,1,0,0,0,1,0,-1.3208507
198,1,0,1,0,1,0,.039885584
199,1,0,0,0,1,1,.96155715
199,1,0,1,0,1,1,.039885584
200,1,0,0,0,1,0,.21332315
200,1,0,1,0,1,0,1.6132852
201,1,0,0,1,0,0,-.20405026
201,1,0,1,1,0,0,.35689837
202,1,0,0,0,1,0,.96155715
202,1,0,1,0,1,0,.82658541
203,1,0,0,0,1,0,.86989832
203,1,0,1,0,1,0,.039885584
204,1,0,0,0,1,0,.030005489
204,1,0,1,0,1,0,-1.9015791
205,1,0,0,0,1,0,.030005489
205,1,0,1,0,1,0,.82658541
206,1,0,0,1,1,0,-.97457534
206,1,0,1,1,1,0,-1.063971
207,1,0,0,0,1,0,-1.2474838
207,1,0,1,0,1,0,-.22676605
208,1,0,0,0,0,0,.77823955
208,1,0,1,0,0,0,.039885584
209,1,0,0,0,1,0,.96155715
209,1,0,1,0,1,0,1.6132852
210,1,0,0,0,1,0,-.061653327
210,1,0,1,0,1,0,-.68901348
211,1,0,0,0,1,0,-.17868121
211,1,0,1,0,1,0,2.1728399
212,1,0,0,0,1,0,.96155715
212,1,0,1,0,1,0,.039885584
213,1,0,0,1,1,0,.77823955
213,1,0,1,1,1,0,.94218695
214,1,0,0,0,0,0,.030005489
214,1,0,1,0,0,0,.039885584
215,1,0,0,0,1,0,-2.6390038
215,1,0,1,0,1,0,-3.9744937
216,1,0,0,1,1,0,.21332315
216,1,0,1,1,1,0,.039885584
217,1,0,0,0,0,0,.030005489
217,1,0,1,0,0,0,.039885584
218,1,0,0,0,1,0,.28853559
218,1,0,1,0,1,0,-.22676605
219,1,0,0,0,0,0,-1.309613
219,1,0,1,0,0,0,.039885584
220,1,0,0,0,1,0,1.1797786
220,1,0,1,0,1,0,-.32050252
